"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"864","7.29E-6","0.28897536","2","周恩來","false","周恩來","PERSON"
"865","1.6E-7","0.27032274","3","周尙為","false","周尙為","PERSON"
"866","1.6E-7","0.27032274","3","周尙","false","周尙","PERSON"
"867","8.072E-5","0.31371445","5","周察覺","false","周察覺","PERSON"
"868","1.107E-5","0.27982919","6","周夢","false","周夢","PERSON"
"869","0.0","0.26914714","1","周代","false","周代","PERSON"
"870","0.0","0.26811071","1","呂超","false","呂超","PERSON"
"871","1.6E-7","0.27032274","3","吳鼎昌","false","吳鼎昌","PERSON"
"872","0.0","0.28882551","1","吳達","false","吳達","PERSON"
"873","0.00179049","0.36357702","4","濟部","false","濟部","ORG"
"874","0.00179049","0.36357702","4","國民參政會","false","國民參政會","ORG"
"875","0.00179049","0.36357702","4","參政會","false","參政會","ORG"
"876","1.21E-6","0.26695423","3","吳貽芳","false","吳貽芳","PERSON"
"877","0.00185886","0.36429039","7","出品協會","false","出品協會","ORG"
"878","3.09E-6","0.27190627","2","吳西坡","false","吳西坡","PERSON"
"879","0.00561164","0.36838624","24","為量才獎學基金","false","為量才獎學基金","ORG"
"880","0.00561164","0.36838624","24","才獎學基金團","false","才獎學基金團","ORG"
"881","0.00183926","0.33403298","11","吳藴初","false","吳藴初","PERSON"
"882","3.295E-5","0.2907857","4","吳良材","false","吳良材","PERSON"
"883","3.295E-5","0.2907857","4","吳良","false","吳良","PERSON"
"884","2.056E-5","0.27084853","7","吳紹","false","吳紹","PERSON"
"885","0.0","0.26811071","1","吳稚暉","false","吳稚暉","PERSON"
"886","1.44E-6","0.27019161","2","吳秘","false","吳秘","PERSON"
"887","0.0","0.27006061","1","吳江楓","false","吳江楓","PERSON"
"888","0.0","0.26836907","1","吳昌","false","吳昌","PERSON"
"889","0.0","0.27006061","1","吳宮","false","吳宮","PERSON"
"890","5.7E-6","0.27540173","2","吳哲生","false","吳哲生","PERSON"
"891","8.0501E-4","0.3652459","11","上海郵政管理局","false","上海郵政管理局","ORG"
"892","9.3138E-4","0.2990604","11","吳佩孚","false","吳佩孚","PERSON"
"893","0.0","0.28882551","1","吕兩","false","吕兩","PERSON"
