"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"3.83654054","0.0","0.26065149","0.0","1","7","false","吳朗清","188.0","1","0","0","0.68482883","false","0","吳朗清","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","胡之楨","62.0","3","0","0","0.65436637","false","0","胡之楨","5002","0.57009346","PERSON"
"3.20086486","4.7455E-4","0.31241556","0.0","12","7","false","慎昌丰","100.66666667","12","0","0","0.75545946","false","0","慎昌丰","3758638","0.17243368","ORG"
"3.83654054","0.0","0.26065149","0.0","1","7","false","徐樂三","188.0","1","0","0","0.68482883","false","0","徐樂三","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","蔣慶頤","62.0","3","0","0","0.65436637","false","0","蔣慶頤","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","倪綬卿","188.0","1","0","0","0.68482883","false","0","倪綬卿","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","楊毓璋","62.0","3","0","0","0.65436637","false","0","楊毓璋","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","潘藹","188.0","1","0","0","0.68482883","false","0","潘藹","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","吳海","62.0","3","0","0","0.65436637","false","0","吳海","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","錢芩生","188.0","1","0","0","0.68482883","false","0","錢芩生","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","叚世德","62.0","3","0","0","0.65436637","false","0","叚世德","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","譚麗生","188.0","1","0","0","0.68482883","false","0","譚麗生","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","江慶瑞","62.0","3","0","0","0.65436637","false","0","江慶瑞","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","顧小亭","188.0","1","0","0","0.68482883","false","0","顧小亭","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","王　貞直","62.0","3","0","0","0.65436637","false","0","王　貞直","5002","0.57009346","PERSON"
"3.12475676","7.926E-4","0.32002491","0.0","47","7","false","慶和堂","48.9787234","47","0","0","0.76391592","false","0","慶和堂","11343260","0.07531982","ORG"
"3.83654054","0.0","0.26065149","0.0","1","7","false","瞿慶","188.0","1","0","0","0.68482883","false","0","瞿慶","0","0.0","PERSON"
"4.1107027","6.1E-7","0.24326741","0.0","3","8","false","王賡詩","62.0","3","0","0","0.65436637","false","0","王賡詩","5002","0.57009346","PERSON"
"3.83654054","0.0","0.26065149","0.0","1","7","false","陸文麓","188.0","1","0","0","0.68482883","false","0","陸文麓","0","0.0","PERSON"
"4.21362162","3.0E-8","0.23732553","0.0","3","8","false","徐振捐","9.0","3","0","0","0.64293093","false","0","徐振捐","6","1.0","PERSON"
"3.2147027","5.896E-4","0.31107076","0.0","9","7","false","勤泰","89.44444444","9","0","0","0.75392192","false","0","勤泰","2134470","0.15516569","ORG"
