DocId,Date,Title,Source
SPSP192411201509,19241120,盛竹書等組織鎭海同鄉會,shunpao
SPSP192004151105,19200415,聯華總會年會紀,shunpao
SPSP191808041106,19180804,寗波同鄉特别大會紀事,shunpao
SPSP191810081110,19181008,小本成業會開會紀事,shunpao
SPSP191605160450,19160516,懷安施醫局特延陳伯威醫士耑治一切毒門花柳惡症,shunpao
SPSP192311270235,19231127,上海挹雲室敬謝,shunpao
SPSP190310271002,19031027,同心行善,shunpao
SPSP190109231001,19010923,六月廿四至七月三十止各善士樂助醫藥捐清單,shunpao
SPSP190303020904,19030302,延年却病,shunpao
SPSP190303120905,19030312,善捐誌謝,shunpao
SPSP190209270902,19020927,康彊逢吉,shunpao
SPSP190205050907,19020505,施當其阨,shunpao
SPSP190212250315,19021225,善欵彚登,shunpao
SPSP190211090307,19021109,預籌衣米,shunpao
SPSP190301180311,19030118,善捐併誌,shunpao
SPSP190201140903,19020114,貧民戴德,shunpao
SPSP190202240310,19020224,定期開塾,shunpao
SPSP190201270904,19020127,貧民戴德,shunpao
SPSP190207190311,19020719,添請醫士,shunpao
SPSP190412141002,19041214,挽回造化,shunpao
SPSP190602111205,19060211,定期開診,shunpao
SPSP190606171101,19060617,經收湖南被災賑款第二次清單,shunpao
SPSP190312270911,19031227,實惠均沽,shunpao
SPSP189911260905,18991126,共登仁壽,shunpao
SPSP190008240403,19000824,善欵彚登,shunpao
SPSP190007080905,19000708,與物同春,shunpao
SPSP191210180614,19121018,工商部電請赴會,shunpao
SPSP191107122002,19110712,衝撞,shunpao
SPSP192109291420,19210929,江浙皖水災義賑會紀事,shunpao
SPSP192405261425,19240526,定海同鄕會改選會董,shunpao
SPSP192004051111,19200405,廣濟醫院開幕紀,shunpao
SPSP192005081404,19200508,商界參觀英國兵艦紀,shunpao
SPSP190608250104,19060825,華商公議會廣告,shunpao
SPSP191509290116,19150929,商業會計所之露布,shunpao
SPSP192008141013,19200814,四明公所北廠募捐告成會紀,shunpao
SPSP194111021005,19411102,昨日愛多亞路　槍聲兩響,shunpao
SPSP190307270910,19030727,衆善奉行,shunpao
SPSP190205190309,19020519,完聚骨月,shunpao
SPSP190105210308,19010521,添醫初誌,shunpao
SPSP190102130907,19010213,九月至十二月二十日止除已登報章外藥捐計數,shunpao
SPSP190312080309,19031208,任卹風高,shunpao
SPSP190312150909,19031215,將伯助予,shunpao
SPSP190412111004,19041211,仁民愛物,shunpao
SPSP190501080311,19050108,總善流長,shunpao
SPSP190501090314,19050109,實惠均沾,shunpao
SPSP190407250909,19040725,作善降祥,shunpao
SPSP190408300910,19040830,惻隠爲懷,shunpao
SPSP190801232001,19080123,法租界捕房事　　馬長春吞没楊先山欵項方保初向永興洋行定貨不出均被控追由公堂飭提在案昨由包探將馬方先後帶入押候解訊某烟間經理陳阿金竊取烟鎗三枝及另星各物逃逸昨被店主傅春泉尋獲扭入押候訊究○小竊張亞五朱阿　[...],shunpao
SPSP190702271903,19070227,定期開診,shunpao
SPSP191604051019,19160405,委託參觀開籤之代表,shunpao
SPSP188904210908,18890421,上海虹口寳順里元濟善堂經收各善士樂助造堂捐欵第一次清單,shunpao
SPSP190003010904,19000301,旣飽乎德,shunpao
SPSP189912050312,18991205,善與人同,shunpao
SPSP189912180909,18991218,情殷祝嘏,shunpao
SPSP190002200906,19000220,惠而不費,shunpao
SPSP191110061801,19111006,天文臺報告,shunpao
SPSP192008211113,19200821,旅滬台人再電乞賑,shunpao
SPSP191605021041,19160502,介紹德醫朱壽田,shunpao
SPSP192407221306,19240722,朱葆三覆聞蘭亭等文,shunpao
SPSP192304251018,19230425,寗波,shunpao
SPSP191509231010,19150923,四明公所開會補誌,shunpao
SPSP194807240712,19480724,中華工商專科學校,shunpao
SPSP190309191001,19030919,閏五月六份經收月捐清單,shunpao
SPSP190302250905,19030225,壬寅十一月份經收月年捐捐洋貨號冬季捐淸單,shunpao
SPSP189611070311,18961107,英界公廨瑣案,shunpao
SPSP192008191026,19200819,慈善團合辦籌振會紀,shunpao
SPSP192307191410,19230719,朱葆三再介紹經乾堃入商會,shunpao
SPSP194702270433,19470227,本市簡訊,shunpao
SPSP190305290312,19030529,請繳捐册,shunpao
SPSP190305310315,19030531,添請醫士,shunpao
SPSP190209090301,19020909,上海官塲紀事,shunpao
SPSP190212290905,19021229,永保平安,shunpao
SPSP190112020312,19011202,安懷望切,shunpao
SPSP190207290911,19020729,五月初一至六月十一日止集福册捐等清單,shunpao
SPSP190312200313,19031220,澤及枯骨,shunpao
SPSP190409280907,19040928,救急功崇,shunpao
SPSP191803091022,19180309,視頌華孚銀行開幕,shunpao
SPSP189911190309,18991119,望切解推,shunpao
SPSP189911270901,18991127,皖學觀風,shunpao
SPSP190305630315,19030531,添請醫士,shunpao
SPSP192210151303,19221015,淞市政處對私圑圈地之主張,shunpao
SPSP190808301903,19080830,定海購運秈米,shunpao
SPSP192101041104,19210104,女子聖經學校之同樂會,shunpao
SPSP191808291134,19180829,山東路仁濟醫院誌謝,shunpao
SPSP191701101112,19170110,滬濱各校消息,shunpao
SPSP190703292006,19070329,華洋義振會經收捐欵第三十五次報告,shunpao
SPSP192404291704,19240429,平安旅社添新布置,shunpao
SPSP191810231003,19181023,總商會選舉會長之呈報,shunpao
SPSP192207021504,19220702,時役醫院開幕,shunpao
SPSP191803081108,19180308,電話自動機到申,shunpao
SPSP192206211305,19220621,旅滬浙人所接杭州覆電,shunpao
SPSP192609151408,19260915,英商會哀悼朱葆三請由會轉致,shunpao
SPSP192510271503,19251027,四明公所祿位升座,shunpao
